code,description_en,description_pt,intervention_en,intervention_pt,outcome_en,outcome_pt,nanda_edition,nanda_domain,nanda_class,nanda_source_page,nanda_pdf_page,nic_edition,nic_code,nic_label_en,nic_label_pt,noc_edition,noc_code,noc_label_en,noc_label_pt,mapping_status,mapping_confidence,mapping_methodology,mapping_review_date,mapping_reference,mapping_rationale,mapping_notes
00097,Decreased diversional activity engagement,Diminuição do envolvimento em atividades de lazer,"NIC 5360 — Recreational Therapy. Local example activities: assess interests, previous leisure roles, physical/cognitive abilities, sensory needs and barriers to participation; offer meaningful recreational activities that match the person’s preferences rather than generic diversion; adapt equipment, environment, duration and level of assistance so participation is safe and achievable; use individual or group activities to support enjoyment, social connection, movement or cognitive engagement as relevant; evaluate engagement, mood, fatigue and function and modify or refer when disability or symptoms limit participation.","NIC 5360 — Terapia Recreacional. Exemplos locais de atividades: avaliar interesses, papéis prévios de lazer, capacidades físicas/cognitivas, necessidades sensoriais e barreiras à participação; oferecer atividades recreativas significativas que correspondam às preferências da pessoa, e não mera distração genérica; adaptar equipamentos, ambiente, duração e nível de assistência para participação segura e possível; utilizar atividades individuais ou em grupo para favorecer prazer, conexão social, movimento ou estímulo cognitivo conforme pertinente; avaliar participação, humor, fadiga e função e modificar ou encaminhar quando deficiência ou sintomas limitarem a participação.","NOC 1604 — Leisure Participation. Local evaluation examples: record whether the person engages in personally meaningful leisure or recreation, how often and with what level of assistance; assess enjoyment, social connection, cognitive/physical participation and fatigue rather than attendance alone; document barriers such as pain, transport, accessibility, mood or lack of opportunity and whether adaptations improve participation; compare with the person’s preferred baseline and goals; use selected licensed NOC indicators/scale for formal scoring.","NOC 1604 — Participação em Atividades de Lazer. Exemplos locais de avaliação: registrar se a pessoa participa de lazer/recreação pessoalmente significativos, com que frequência e nível de assistência; avaliar prazer, conexão social, participação cognitiva/física e fadiga em vez de apenas presença; documentar barreiras como dor, transporte, acessibilidade, humor ou falta de oportunidade e se adaptações melhoram a participação; comparar com a linha de base e objetivos preferidos pela pessoa; utilizar indicadores/escala NOC licenciados selecionados para pontuação formal.","NANDA-I 2024-2026, 13th edition",1,1,207,240,"Nursing Interventions Classification (NIC), 8th edition",5360,Recreational Therapy,Terapia Recreacional,"Nursing Outcomes Classification (NOC), 7th edition",1604,Leisure Participation,Participação em Atividades de Lazer,curated_current_editions_contextual,high,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/j.2047-3095.2013.01233.x,Leisure/recreation intervention and outcome directly target reduced diversional engagement.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00448,Risk for decreased diversional activity engagement,Risco de diminuição do envolvimento em atividades de lazer,"NIC 5360 — Recreational Therapy. Local example activities: assess interests, previous leisure roles, physical/cognitive abilities, sensory needs and barriers to participation; offer meaningful recreational activities that match the person’s preferences rather than generic diversion; adapt equipment, environment, duration and level of assistance so participation is safe and achievable; use individual or group activities to support enjoyment, social connection, movement or cognitive engagement as relevant; evaluate engagement, mood, fatigue and function and modify or refer when disability or symptoms limit participation.","NIC 5360 — Terapia Recreacional. Exemplos locais de atividades: avaliar interesses, papéis prévios de lazer, capacidades físicas/cognitivas, necessidades sensoriais e barreiras à participação; oferecer atividades recreativas significativas que correspondam às preferências da pessoa, e não mera distração genérica; adaptar equipamentos, ambiente, duração e nível de assistência para participação segura e possível; utilizar atividades individuais ou em grupo para favorecer prazer, conexão social, movimento ou estímulo cognitivo conforme pertinente; avaliar participação, humor, fadiga e função e modificar ou encaminhar quando deficiência ou sintomas limitarem a participação.","NOC 1604 — Leisure Participation. Local evaluation examples: record whether the person engages in personally meaningful leisure or recreation, how often and with what level of assistance; assess enjoyment, social connection, cognitive/physical participation and fatigue rather than attendance alone; document barriers such as pain, transport, accessibility, mood or lack of opportunity and whether adaptations improve participation; compare with the person’s preferred baseline and goals; use selected licensed NOC indicators/scale for formal scoring.","NOC 1604 — Participação em Atividades de Lazer. Exemplos locais de avaliação: registrar se a pessoa participa de lazer/recreação pessoalmente significativos, com que frequência e nível de assistência; avaliar prazer, conexão social, participação cognitiva/física e fadiga em vez de apenas presença; documentar barreiras como dor, transporte, acessibilidade, humor ou falta de oportunidade e se adaptações melhoram a participação; comparar com a linha de base e objetivos preferidos pela pessoa; utilizar indicadores/escala NOC licenciados selecionados para pontuação formal.","NANDA-I 2024-2026, 13th edition",1,1,208,241,"Nursing Interventions Classification (NIC), 8th edition",5360,Recreational Therapy,Terapia Recreacional,"Nursing Outcomes Classification (NOC), 7th edition",1604,Leisure Participation,Participação em Atividades de Lazer,curated_current_editions_contextual,high,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/j.2047-3095.2013.01233.x,Leisure/recreation intervention and outcome directly target reduced diversional engagement.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00355,Excessive sedentary behaviours,Comportamentos sedentários excessivos,"NIC 0200 — Exercise Promotion. Local example activities: assess baseline activity, mobility, symptoms, preferences and barriers; agree on a realistic progressive activity plan that fits the person’s health status and goals; encourage regular aerobic, strengthening, balance or flexibility work as appropriate rather than an all-or-nothing target; teach pacing, warm-up/cool-down and warning symptoms that require stopping or review; track adherence, tolerance and function and revise the plan when symptoms, medicines or clinical status change.","NIC 0200 — Promoção do Exercício. Exemplos locais de atividades: avaliar nível basal de atividade, mobilidade, sintomas, preferências e barreiras; pactuar um plano progressivo e realista que se ajuste ao estado de saúde e aos objetivos da pessoa; estimular atividade aeróbica, fortalecimento, equilíbrio ou flexibilidade de forma regular conforme apropriado, evitando metas de tudo-ou-nada; ensinar controle de ritmo, aquecimento/desaquecimento e sinais de alerta que exigem interrupção ou avaliação; acompanhar adesão, tolerância e função e revisar o plano quando sintomas, medicamentos ou condição clínica mudarem.","NOC 1633 — Exercise Participation. Local example evaluation: record frequency, duration and type of planned and everyday physical activity and compare with the person’s individualized goal and baseline; assess enjoyment, confidence, access and barriers as well as symptoms and recovery; document progression in participation and reductions in prolonged sedentary time without requiring a single exercise prescription for everyone; evaluate use of agreed pacing, safety measures and supports; use selected licensed NOC indicators and scale for formal scoring and reassess the plan after illness or functional change.","NOC 1633 — Participação em Exercício. Exemplo local de avaliação: registrar frequência, duração e tipo de atividade física planejada e cotidiana e comparar com meta individual e linha de base; avaliar prazer, confiança, acesso, barreiras, sintomas e recuperação; documentar progressão da participação e redução de sedentarismo prolongado sem exigir prescrição única para todos; avaliar uso de ritmo, medidas de segurança e apoios acordados; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e reavaliar plano após doença ou mudança funcional.","NANDA-I 2024-2026, 13th edition",1,1,209,242,"Nursing Interventions Classification (NIC), 8th edition",0200,Exercise Promotion,Promoção do Exercício,"Nursing Outcomes Classification (NOC), 7th edition",1633,Exercise Participation,Participação em Exercício,curated_current_editions_contextual,high,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/jan.15503,Exercise participation directly measures the target behaviour; Exercise Promotion is the primary behavioural intervention.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00394,Risk for excessive sedentary behaviours,Risco de comportamentos sedentários excessivos,"NIC 0200 — Exercise Promotion. Local example activities: assess baseline activity, mobility, symptoms, preferences and barriers; agree on a realistic progressive activity plan that fits the person’s health status and goals; encourage regular aerobic, strengthening, balance or flexibility work as appropriate rather than an all-or-nothing target; teach pacing, warm-up/cool-down and warning symptoms that require stopping or review; track adherence, tolerance and function and revise the plan when symptoms, medicines or clinical status change.","NIC 0200 — Promoção do Exercício. Exemplos locais de atividades: avaliar nível basal de atividade, mobilidade, sintomas, preferências e barreiras; pactuar um plano progressivo e realista que se ajuste ao estado de saúde e aos objetivos da pessoa; estimular atividade aeróbica, fortalecimento, equilíbrio ou flexibilidade de forma regular conforme apropriado, evitando metas de tudo-ou-nada; ensinar controle de ritmo, aquecimento/desaquecimento e sinais de alerta que exigem interrupção ou avaliação; acompanhar adesão, tolerância e função e revisar o plano quando sintomas, medicamentos ou condição clínica mudarem.","NOC 1633 — Exercise Participation. Local example evaluation: record frequency, duration and type of planned and everyday physical activity and compare with the person’s individualized goal and baseline; assess enjoyment, confidence, access and barriers as well as symptoms and recovery; document progression in participation and reductions in prolonged sedentary time without requiring a single exercise prescription for everyone; evaluate use of agreed pacing, safety measures and supports; use selected licensed NOC indicators and scale for formal scoring and reassess the plan after illness or functional change.","NOC 1633 — Participação em Exercício. Exemplo local de avaliação: registrar frequência, duração e tipo de atividade física planejada e cotidiana e comparar com meta individual e linha de base; avaliar prazer, confiança, acesso, barreiras, sintomas e recuperação; documentar progressão da participação e redução de sedentarismo prolongado sem exigir prescrição única para todos; avaliar uso de ritmo, medidas de segurança e apoios acordados; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e reavaliar plano após doença ou mudança funcional.","NANDA-I 2024-2026, 13th edition",1,1,211,244,"Nursing Interventions Classification (NIC), 8th edition",0200,Exercise Promotion,Promoção do Exercício,"Nursing Outcomes Classification (NOC), 7th edition",1633,Exercise Participation,Participação em Exercício,curated_current_editions_contextual,high,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/jan.15503,Exercise participation directly measures the target behaviour; Exercise Promotion is the primary behavioural intervention.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00273,Imbalanced energy field,Campo energético desequilibrado,"NIC 5465 — Therapeutic Touch. Local example activities: offer this complementary comfort practice only when the person requests or values it, local policy permits it and a trained practitioner is available; explain plainly that evidence has not established a therapeutic energy-field mechanism or clear health benefit, so it must not replace indicated medical or nursing treatment; obtain consent and agree whether light touch or no-touch hand positioning is acceptable, respecting privacy, wounds, devices and personal boundaries; observe only concrete outcomes such as reported comfort, relaxation or distress and stop if unwanted or uncomfortable; document the person’s preference and response without claiming disease treatment or energy correction.","NIC 5465 — Toque Terapêutico. Exemplos locais de atividades: oferecer esta prática complementar de conforto somente quando a pessoa a solicitar ou valorizar, a política local permitir e houver profissional treinado; explicar claramente que evidências não demonstraram mecanismo terapêutico de campo energético nem benefício clínico claro, portanto não deve substituir tratamento médico ou de enfermagem indicado; obter consentimento e acordar se toque leve ou posicionamento das mãos sem toque é aceitável, respeitando privacidade, feridas, dispositivos e limites pessoais; observar apenas resultados concretos como conforto, relaxamento ou desconforto relatados e interromper se não desejado; documentar preferência e resposta sem afirmar tratamento de doença ou correção de energia.","NOC 2002 — Personal Well-Being. Local example evaluation: ask the person to rate their overall sense of comfort, dignity, meaning, autonomy and satisfaction with daily life in terms that matter to them; document ability to participate in valued activities and relationships and whether symptoms or environmental or social barriers reduce well-being; evaluate response to evidence-based symptom care, supportive relationships and chosen complementary comfort practices without attributing improvement to an unproven energy mechanism; compare with the person’s own baseline and goals; use selected licensed NOC indicators and scale for formal scoring and address severe distress or loss of dignity.","NOC 2002 — Bem-Estar Pessoal. Exemplo local de avaliação: perguntar como a pessoa avalia sensação global de conforto, dignidade, significado, autonomia e satisfação com vida diária em termos que importam a ela; documentar capacidade de participar de atividades e relacionamentos valorizados e se sintomas ou barreiras ambientais ou sociais reduzem bem-estar; avaliar resposta a cuidado sintomático baseado em evidências, relações de apoio e práticas complementares escolhidas sem atribuir melhora a mecanismo energético não comprovado; comparar com linha de base e metas da própria pessoa; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e abordar sofrimento grave ou perda de dignidade.","NANDA-I 2024-2026, 13th edition",1,1,212,246,"Nursing Interventions Classification (NIC), 8th edition",5465,Therapeutic Touch,Toque Terapêutico,"Nursing Outcomes Classification (NOC), 7th edition",2002,Personal Well-Being,Bem-Estar Pessoal,curated_current_editions_contextual,moderate,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1590/0034-7167-2025-0119,Current literature specifically discusses the diagnostic concept in relation to Therapeutic Touch; well-being is used as a conservative measurable patient outcome.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00276,Ineffective health self-management,Autogestão ineficaz da saúde,"NIC 4480 — Self-Responsibility Facilitation. Local example activities: ask what health goals matter to the person and what parts of daily management they currently control; identify barriers such as symptoms, cost, literacy, cognition, access, competing responsibilities or treatment burden rather than labelling non-adherence as irresponsibility; support the person to choose one or two specific self-management actions and create reminders, routines or monitoring that fit daily life; use teach-back/show-me and shared decision making so responsibilities are understood and genuinely agreed; review progress without blame and connect to practical, social or professional support when barriers cannot be solved individually.","NIC 4480 — Facilitação da Autorresponsabilidade. Exemplos locais de atividades: perguntar quais objetivos de saúde importam à pessoa e quais partes do manejo diário ela controla atualmente; identificar barreiras como sintomas, custo, letramento, cognição, acesso, responsabilidades concorrentes ou carga terapêutica em vez de rotular não adesão como irresponsabilidade; apoiar escolha de uma ou duas ações específicas de autocuidado e criar lembretes, rotinas ou monitoramento compatíveis com a vida diária; utilizar teach-back/show-me e decisão compartilhada para que responsabilidades sejam compreendidas e realmente acordadas; revisar progresso sem culpa e conectar a apoio prático, social ou profissional quando barreiras não puderem ser resolvidas individualmente.","NOC 1613 — Self-Management of Care. Local example evaluation: assess whether the person can organize medicines or treatments, appointments, monitoring, diet or activity and symptom-response tasks included in their plan; document use of reminders, devices, records or support and whether tasks are performed safely; evaluate ability to interpret relevant results and take the agreed action rather than merely collecting data; identify cost, literacy, cognition, access or treatment-burden barriers; use selected licensed NOC indicators and scale for formal scoring and revise the plan or support when self-management is not feasible.","NOC 1613 — Autogestão dos Cuidados. Exemplo local de avaliação: avaliar se a pessoa consegue organizar medicamentos ou tratamentos, consultas, monitoramento, dieta ou atividade e resposta a sintomas incluídos no plano; documentar uso de lembretes, dispositivos, registros ou apoio e se tarefas são realizadas com segurança; avaliar capacidade de interpretar resultados relevantes e tomar ação acordada em vez de apenas coletar dados; identificar barreiras de custo, letramento, cognição, acesso ou carga terapêutica; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e revisar plano ou apoio quando autocuidado não for viável.","NANDA-I 2024-2026, 13th edition",1,2,214,248,"Nursing Interventions Classification (NIC), 8th edition",4480,Self-Responsibility Facilitation,Facilitação da Autorresponsabilidade,"Nursing Outcomes Classification (NOC), 7th edition",1613,Self-Management of Care,Autogestão dos Cuidados,curated_current_editions_contextual,moderate,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/jan.15503,Self-direction and responsibility are closer to self-management than generic disease knowledge alone.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00369,Risk for ineffective health self-management,Risco de autogestão ineficaz da saúde,"NIC 4480 — Self-Responsibility Facilitation. Local example activities: ask what health goals matter to the person and what parts of daily management they currently control; identify barriers such as symptoms, cost, literacy, cognition, access, competing responsibilities or treatment burden rather than labelling non-adherence as irresponsibility; support the person to choose one or two specific self-management actions and create reminders, routines or monitoring that fit daily life; use teach-back/show-me and shared decision making so responsibilities are understood and genuinely agreed; review progress without blame and connect to practical, social or professional support when barriers cannot be solved individually.","NIC 4480 — Facilitação da Autorresponsabilidade. Exemplos locais de atividades: perguntar quais objetivos de saúde importam à pessoa e quais partes do manejo diário ela controla atualmente; identificar barreiras como sintomas, custo, letramento, cognição, acesso, responsabilidades concorrentes ou carga terapêutica em vez de rotular não adesão como irresponsabilidade; apoiar escolha de uma ou duas ações específicas de autocuidado e criar lembretes, rotinas ou monitoramento compatíveis com a vida diária; utilizar teach-back/show-me e decisão compartilhada para que responsabilidades sejam compreendidas e realmente acordadas; revisar progresso sem culpa e conectar a apoio prático, social ou profissional quando barreiras não puderem ser resolvidas individualmente.","NOC 1613 — Self-Management of Care. Local example evaluation: assess whether the person can organize medicines or treatments, appointments, monitoring, diet or activity and symptom-response tasks included in their plan; document use of reminders, devices, records or support and whether tasks are performed safely; evaluate ability to interpret relevant results and take the agreed action rather than merely collecting data; identify cost, literacy, cognition, access or treatment-burden barriers; use selected licensed NOC indicators and scale for formal scoring and revise the plan or support when self-management is not feasible.","NOC 1613 — Autogestão dos Cuidados. Exemplo local de avaliação: avaliar se a pessoa consegue organizar medicamentos ou tratamentos, consultas, monitoramento, dieta ou atividade e resposta a sintomas incluídos no plano; documentar uso de lembretes, dispositivos, registros ou apoio e se tarefas são realizadas com segurança; avaliar capacidade de interpretar resultados relevantes e tomar ação acordada em vez de apenas coletar dados; identificar barreiras de custo, letramento, cognição, acesso ou carga terapêutica; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e revisar plano ou apoio quando autocuidado não for viável.","NANDA-I 2024-2026, 13th edition",1,2,216,251,"Nursing Interventions Classification (NIC), 8th edition",4480,Self-Responsibility Facilitation,Facilitação da Autorresponsabilidade,"Nursing Outcomes Classification (NOC), 7th edition",1613,Self-Management of Care,Autogestão dos Cuidados,curated_current_editions_contextual,moderate,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/jan.15503,Self-direction and responsibility are closer to self-management than generic disease knowledge alone.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00293,Readiness for enhanced health self-management,Preparação para uma melhor autogestão da saúde,"NIC 5510 — Health Education. Local example activities: assess what the person already knows, wants to know, language/communication needs and barriers to learning; explain the condition and plan in plain, prioritized chunks linked to practical actions; demonstrate skills when needed and use teach-back/show-me to confirm understanding rather than asking only 'do you understand?'; provide written or digital material in an accessible format and include carers with consent; document learning needs and unresolved misconceptions and arrange reinforcement or specialist education when needed.","NIC 5510 — Educação em Saúde. Exemplos locais de atividades: avaliar o que a pessoa já sabe, deseja saber, necessidades de linguagem/comunicação e barreiras ao aprendizado; explicar condição e plano em blocos claros e priorizados ligados a ações práticas; demonstrar habilidades quando necessário e utilizar teach-back/show-me para confirmar compreensão em vez de perguntar apenas 'entendeu?'; fornecer material escrito ou digital em formato acessível e incluir cuidadores com consentimento; documentar necessidades de aprendizagem e equívocos não resolvidos e organizar reforço ou educação especializada quando necessário.","NOC 1602 — Health Promoting Behaviour. Local example evaluation: assess which preventive and self-care behaviours are relevant to the person’s conditions and goals, such as medicines, activity, nutrition, sleep, tobacco or alcohol, screening or follow-up; document whether the person performs the agreed behaviours consistently and can explain why they matter; track self-monitoring and response to individualized warning signs where appropriate; identify structural barriers before attributing non-performance to motivation; use selected licensed NOC indicators and scale for formal scoring and revise goals through shared decision making.","NOC 1602 — Comportamento de Promoção da Saúde. Exemplo local de avaliação: avaliar quais comportamentos preventivos e de autocuidado são relevantes às condições e metas, como medicamentos, atividade, nutrição, sono, tabaco ou álcool, rastreamento ou seguimento; documentar se realiza comportamentos acordados consistentemente e explica por que importam; acompanhar automonitoramento e resposta a sinais de alerta individualizados quando pertinente; identificar barreiras estruturais antes de atribuir não realização à motivação; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e revisar metas por decisão compartilhada.","NANDA-I 2024-2026, 13th edition",1,2,218,253,"Nursing Interventions Classification (NIC), 8th edition",5510,Health Education,Educação em Saúde,"Nursing Outcomes Classification (NOC), 7th edition",1602,Health Promoting Behaviour,Comportamento de Promoção da Saúde,curated_current_editions_contextual,moderate,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/jan.15503,Readiness for improved self-management is best tracked as health-promoting behaviour with education support.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00080,Ineffective family health management,Gestão ineficaz da saúde familiar,"NIC 7110 — Family Involvement Promotion. Local example activities: ask the patient who they want involved and in what aspects of information, decisions and hands-on care; assess family willingness, skills, relationship safety and ability to participate rather than assuming availability; invite chosen family members to care planning and teach condition-specific tasks using demonstration and teach-back, with clear limits on what requires professional care; coordinate consistent roles, contact points and follow-up and provide accessible written instructions; review the arrangement when the patient’s wishes, capacity, attachment needs or family circumstances change.","NIC 7110 — Promoção do Envolvimento Familiar. Exemplos locais de atividades: perguntar ao paciente quem deseja envolver e em quais aspectos de informação, decisões e cuidado prático; avaliar disposição, habilidades, segurança relacional e capacidade da família em vez de presumir disponibilidade; convidar familiares escolhidos para planejamento e ensinar tarefas específicas com demonstração e teach-back, deixando claro o que exige cuidado profissional; coordenar papéis, pontos de contato e seguimento consistentes e fornecer instruções acessíveis; revisar arranjo quando desejos, capacidade, necessidades de vínculo ou circunstâncias familiares mudarem.","NOC 2606 — Family Health Status. Local example evaluation: assess whether the family can obtain and understand health information, coordinate appointments, medicines and care tasks, maintain preventive routines and respond to warning signs; document clarity of roles and whether the plan is feasible with available time, finances, transport and caregiver capacity; evaluate use of professional or community supports and continuity across transitions; track missed essential care and reasons rather than labelling the family noncompliant; use selected licensed NOC indicators and scale for formal scoring and revise supports when needs change.","NOC 2606 — Estado de Saúde Familiar. Exemplo local de avaliação: avaliar se família consegue obter e compreender informação de saúde, coordenar consultas, medicamentos e tarefas, manter prevenção e responder a sinais de alerta; documentar clareza de papéis e se plano é viável com tempo, finanças, transporte e capacidade do cuidador disponíveis; avaliar uso de apoios profissionais ou comunitários e continuidade nas transições; acompanhar cuidados essenciais perdidos e motivos em vez de rotular família como não aderente; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e revisar apoios quando necessidades mudarem.","NANDA-I 2024-2026, 13th edition",1,2,219,254,"Nursing Interventions Classification (NIC), 8th edition",7110,Family Involvement Promotion,Promoção do Envolvimento Familiar,"Nursing Outcomes Classification (NOC), 7th edition",2606,Family Health Status,Estado de Saúde Familiar,curated_current_editions_contextual,high,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/2047-3095.12323,Family involvement and Family Health Status are contemporary family-management linkages.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
00410,Risk for ineffective family health management,Risco de gestão ineficaz da saúde familiar,"NIC 7110 — Family Involvement Promotion. Local example activities: ask the patient who they want involved and in what aspects of information, decisions and hands-on care; assess family willingness, skills, relationship safety and ability to participate rather than assuming availability; invite chosen family members to care planning and teach condition-specific tasks using demonstration and teach-back, with clear limits on what requires professional care; coordinate consistent roles, contact points and follow-up and provide accessible written instructions; review the arrangement when the patient’s wishes, capacity, attachment needs or family circumstances change.","NIC 7110 — Promoção do Envolvimento Familiar. Exemplos locais de atividades: perguntar ao paciente quem deseja envolver e em quais aspectos de informação, decisões e cuidado prático; avaliar disposição, habilidades, segurança relacional e capacidade da família em vez de presumir disponibilidade; convidar familiares escolhidos para planejamento e ensinar tarefas específicas com demonstração e teach-back, deixando claro o que exige cuidado profissional; coordenar papéis, pontos de contato e seguimento consistentes e fornecer instruções acessíveis; revisar arranjo quando desejos, capacidade, necessidades de vínculo ou circunstâncias familiares mudarem.","NOC 2606 — Family Health Status. Local example evaluation: assess whether the family can obtain and understand health information, coordinate appointments, medicines and care tasks, maintain preventive routines and respond to warning signs; document clarity of roles and whether the plan is feasible with available time, finances, transport and caregiver capacity; evaluate use of professional or community supports and continuity across transitions; track missed essential care and reasons rather than labelling the family noncompliant; use selected licensed NOC indicators and scale for formal scoring and revise supports when needs change.","NOC 2606 — Estado de Saúde Familiar. Exemplo local de avaliação: avaliar se família consegue obter e compreender informação de saúde, coordenar consultas, medicamentos e tarefas, manter prevenção e responder a sinais de alerta; documentar clareza de papéis e se plano é viável com tempo, finanças, transporte e capacidade do cuidador disponíveis; avaliar uso de apoios profissionais ou comunitários e continuidade nas transições; acompanhar cuidados essenciais perdidos e motivos em vez de rotular família como não aderente; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e revisar apoios quando necessidades mudarem.","NANDA-I 2024-2026, 13th edition",1,2,221,257,"Nursing Interventions Classification (NIC), 8th edition",7110,Family Involvement Promotion,Promoção do Envolvimento Familiar,"Nursing Outcomes Classification (NOC), 7th edition",2606,Family Health Status,Estado de Saúde Familiar,curated_current_editions_contextual,high,"Context-aware educational NANDA-to-NIC/NOC mapping curated against NANDA-I 2024-2026 (13th), NIC 8th, and NOC 7th. Legacy primary fields are retained for compatibility; the API also exposes alternative/context-specific links. It is not an official crosswalk and does not replace clinical judgment or local protocols.",2026-09-08,https://doi.org/10.1111/2047-3095.12323,Family involvement and Family Health Status are contemporary family-management linkages.,"Compatibility primary mapping plus context-specific alternatives where indicated. Select interventions/outcomes after patient assessment; use licensed source content for definitions, indicators, activities, scales, and scoring."
