classification,code,current_label_en,current_label_pt,status,risk_review,old_label_en,recovered_en,recovered_pt,diagnosis_count,diagnosis_codes,diagnoses_en,diagnoses_pt,review_en,review_pt,fact_check_notes,source_notes,review_status
NOC,0004,Sleep,Sono,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Sleep,"NOC 0004 — Sleep. Example evaluation: Rate sleep duration, continuity, and perceived rest; example target: improve from 2/5 to 4/5.","NOC 0004 — Sono (English: Sleep). Exemplo de avaliação: Pontuar duração, continuidade e repouso percebido; exemplo de meta: melhorar de 2/5 para 4/5.",5,00323; 00337; 00407; 00408; 00417,Ineffective sleep hygiene behaviours | Ineffective sleep pattern | Risk for ineffective sleep pattern | Risk for ineffective sleep hygiene behaviours | Readiness for enhanced sleep pattern,Comportamentos ineficazes de higiene do sono | Padrão de sono ineficaz | Risco de padrão de sono ineficaz | Risco de comportamentos ineficazes de higiene do sono | Preparação para um padrão de sono melhorado,"NOC 0004 — Sleep. Local evaluation examples: record bedtime/wake time, total sleep time, number/duration of awakenings and perceived restfulness over several nights; assess whether the person can fall asleep and return to sleep without prolonged wakefulness; note daytime sleepiness, concentration or functional impairment and use of naps; compare the pattern with the person’s baseline and agreed sleep goal rather than applying a universal numeric target; use the selected licensed NOC indicators/scale for formal scoring.","NOC 0004 — Sono. Exemplos locais de avaliação: registrar horário de dormir/acordar, tempo total de sono, número/duração dos despertares e sensação de repouso ao longo de várias noites; avaliar se a pessoa consegue iniciar e retomar o sono sem vigília prolongada; observar sonolência diurna, concentração ou comprometimento funcional e uso de cochilos; comparar o padrão com a linha de base e a meta de sono acordada em vez de aplicar meta numérica universal; utilizar os indicadores/escala NOC licenciados selecionados para a pontuação formal.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.nhlbi.nih.gov/health/insomnia/treatment,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0005,Activity Tolerance,Tolerância à Atividade,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Activity Tolerance,"NOC 0005 — Activity Tolerance. Example evaluation: Record tolerance to planned activity; example: maintains prescribed activity without limiting fatigue, dyspnea, or abnormal vital-sign response.","NOC 0005 — Tolerância à atividade (English: Activity Tolerance). Exemplo de avaliação: Registrar tolerância à atividade planejada; exemplo: realiza atividade prescrita sem fadiga limitante, dispneia ou resposta anormal dos sinais vitais.",2,00298; 00299,Decreased activity tolerance | Risk for decreased activity tolerance,Diminuição da tolerância à atividade | Risco de diminuição da tolerância à atividade,"NOC 0005 — Activity Tolerance. Local evaluation examples: compare walking, transfers or planned activity with baseline distance/duration and assistance required; observe fatigue, dyspnoea, dizziness, pain and recovery time and, when indicated, heart rate, blood pressure and oxygen saturation response; assess whether the person can complete essential activity without symptoms that force early stopping; document progressive improvement, stability or decline over repeated attempts; use the selected licensed NOC indicators/scale for formal scoring.","NOC 0005 — Tolerância à Atividade. Exemplos locais de avaliação: comparar caminhada, transferências ou atividade planejada com distância/duração basal e assistência necessária; observar fadiga, dispneia, tontura, dor e tempo de recuperação e, quando indicado, resposta de frequência cardíaca, pressão arterial e saturação; avaliar se a pessoa completa atividade essencial sem sintomas que obriguem interrupção precoce; documentar melhora progressiva, estabilidade ou declínio em tentativas repetidas; utilizar os indicadores/escala NOC licenciados selecionados para a pontuação formal.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/health-topics/noncommunicable-diseases/physical-activity | https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0007,Fatigue Level,Nível de Fadiga,AUTHOR_NEW,STANDARD,,,,2,00397; 00477,Ineffective fatigue self-management | Excessive fatigue burden,Autogestão ineficaz da fadiga | sobrecarga de fadiga excessiva,"NOC 0007 — Fatigue Level. Local example evaluation: track perceived fatigue severity, timing and duration together with how much it limits self-care, mobility, concentration, work or social participation; note sleep quality, activity pattern, recovery time and symptoms such as dyspnoea, pain or dizziness that accompany fatigue; compare planned activity with what the person can actually sustain over repeated days; document whether pacing, treatment of contributing problems and graded activity improve function; use the selected licensed NOC indicators and scale for formal scoring and investigate new, disproportionate or rapidly worsening fatigue.","NOC 0007 — Nível de Fadiga. Exemplo local de avaliação: acompanhar intensidade, horário e duração da fadiga percebida e quanto limita autocuidado, mobilidade, concentração, trabalho ou participação social; observar qualidade do sono, padrão de atividade, tempo de recuperação e sintomas associados como dispneia, dor ou tontura; comparar atividade planejada com o que a pessoa realmente sustenta em dias repetidos; documentar se controle de ritmo, tratamento de fatores contribuintes e atividade gradual melhoram função; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e investigar fadiga nova, desproporcional ou em rápida piora.",Locally authored evaluation examples; no universal numeric target.,https://www.who.int/news-room/fact-sheets/detail/mental-health-strengthening-our-response | https://www.nice.org.uk/guidance/cg50/chapter/recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0107,Child Development: 5 Years,Desenvolvimento Infantil: 5 Anos,AUTHOR_NEW,STANDARD,,,,2,00305; 00314,Risk for delayed child development | Delayed child development,Risco de atraso no desenvolvimento infantil | Atraso no desenvolvimento infantil,"NOC 0107 — Child Development: 5 Years. Local example evaluation: plot accurate growth measurements on the appropriate 0-to-5-year growth standard and review the trajectory; assess age-appropriate gross and fine motor, communication, social-emotional, play and self-care milestones using the local developmental surveillance or screening process; document skills gained, retained or lost and the amount of caregiver support needed; evaluate participation in play and learning and interaction with caregivers or peers rather than a single milestone checklist; use selected licensed NOC indicators and scale for formal scoring and refer regression, loss of skills or significant delay promptly.","NOC 0107 — Desenvolvimento Infantil: 5 Anos. Exemplo local de avaliação: plotar medidas precisas de crescimento no padrão apropriado de 0 a 5 anos e revisar trajetória; avaliar marcos motores grossos e finos, comunicação, socioemocionais, brincadeira e autocuidado adequados à idade pelo processo local de vigilância ou rastreamento; documentar habilidades adquiridas, mantidas ou perdidas e apoio do cuidador necessário; avaliar participação em brincadeira e aprendizagem e interação com cuidadores ou pares em vez de checklist isolado; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e encaminhar regressão, perda de habilidades ou atraso importante prontamente.",Growth and development examples aligned with WHO standards and nurturing care.,https://www.who.int/tools/child-growth-standards | https://www.who.int/publications/i/item/97892400020986/,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0110,Growth,Crescimento,REWRITE_VERIFY_LABEL_DRIFT,STANDARD,Child Development,NOC 0110 — Child Development. Example evaluation: Score age-appropriate developmental indicators; example target 2/5 to 4/5.,NOC 0110 — Desenvolvimento infantil (English: Child Development). Exemplo de avaliação: Pontuar indicadores de desenvolvimento adequados à idade; exemplo de meta 2/5 para 4/5.,2,00348; 00478,Delayed child growth | Risk for delayed child growth,Atraso no crescimento infantil | Risco de atraso no crescimento infantil,"NOC 0110 — Growth. Local evaluation examples: obtain accurate serial weight and length/height (and head circumference when age-appropriate) using consistent technique; plot measurements on the age- and sex-appropriate growth standard/reference and assess the trajectory rather than a single percentile; review weight-for-length/height or BMI-for-age as appropriate and relate change to intake, illness and development; document crossing of centile/z-score patterns or poor growth velocity that requires assessment; use the selected licensed NOC indicators/scale for formal scoring while preserving the actual anthropometric trend.","NOC 0110 — Crescimento. Exemplos locais de avaliação: obter medidas seriadas e precisas de peso e comprimento/altura (e perímetro cefálico quando apropriado à idade) com técnica consistente; plotar as medidas no padrão/referência de crescimento apropriado para idade e sexo e avaliar a trajetória em vez de um único percentil; revisar peso-para-comprimento/altura ou IMC-para-idade conforme pertinente e relacionar mudanças à ingestão, doença e desenvolvimento; documentar cruzamento de padrões de percentil/escore-z ou velocidade de crescimento inadequada que exija avaliação; utilizar os indicadores/escala NOC licenciados selecionados para pontuação formal preservando a tendência antropométrica real.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/news-room/questions-and-answers/item/child-growth-standards,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0113,Physical Ageing,Envelhecimento Físico,AUTHOR_NEW,STANDARD,,,,1,00340,Readiness for enhanced healthy ageing,Preparação para um envelhecimento saudável aprimorado,"NOC 0113 — Physical Ageing. Local example evaluation: assess functional ageing across mobility, strength and balance, cognition, vision and hearing, nutrition, sleep, continence, social connection and ability to perform valued daily roles rather than using chronological age alone; document changes from the person’s baseline and whether adaptations preserve independence; track falls, frailty features, activity participation and recovery after illness; evaluate access to preventive care and a supportive environment; use selected licensed NOC indicators and scale for formal scoring and investigate new decline instead of attributing it automatically to normal ageing.","NOC 0113 — Envelhecimento Físico. Exemplo local de avaliação: avaliar envelhecimento funcional por mobilidade, força e equilíbrio, cognição, visão e audição, nutrição, sono, continência, conexão social e capacidade de realizar papéis diários valorizados, e não apenas idade cronológica; documentar mudanças da linha de base e se adaptações preservam independência; acompanhar quedas, características de fragilidade, participação em atividade e recuperação após doença; avaliar acesso a cuidado preventivo e ambiente de apoio; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e investigar novo declínio sem atribuí-lo automaticamente ao envelhecimento normal.",Physical-ageing evaluation framed around function rather than age alone.,https://www.who.int/health-topics/ageing,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0117,Preterm Infant Organisation,Organização do Lactente Prematuro,AUTHOR_NEW,HIGH,,,,3,00451; 00452; 00453,Impaired infant neurodevelopmental organisation | Risk for impaired infant neurodevelopmental organisation | Readiness for enhanced infant neurodevelopmental organisation,Organização neurodesenvolvimental infantil prejudicada | Risco de comprometimento da organização do neurodesenvolvimento infantil | Preparação para uma melhor organização do neurodesenvolvimento infantil,"NOC 0117 — Preterm Infant Organisation. Local evaluation examples: trend the infant’s physiologic stability and ability to maintain colour, temperature, respiratory pattern and oxygenation during routine care; observe sleep–wake organisation, ability to settle after handling and the balance of stress versus self-regulation cues; assess tolerance of skin-to-skin care, feeding and caregiving without repeated desaturation, bradycardia or marked fatigue; document progressive participation in age-appropriate interaction and caregiving; use the selected licensed NOC indicators/scale for formal scoring and compare with baseline.","NOC 0117 — Organização do Lactente Prematuro. Exemplos locais de avaliação: acompanhar estabilidade fisiológica e capacidade de manter coloração, temperatura, padrão respiratório e oxigenação durante cuidados de rotina; observar organização sono–vigília, capacidade de se acalmar após manipulação e equilíbrio entre sinais de estresse e autorregulação; avaliar tolerância ao contato pele a pele, alimentação e cuidados sem dessaturações repetidas, bradicardia ou fadiga importante; documentar progressão na participação em interação e cuidados apropriados à idade; utilizar os indicadores/escala NOC licenciados selecionados para a pontuação formal e comparar com a linha de base.",Evidence-reviewed locally authored example guidance; not verbatim or official NIC/NOC activity/indicator text. Checked for alignment with the current classification label and the linked diagnoses; avoids fixed numeric NOC targets unless clinically meaningful and preserves escalation/scope boundaries for high-risk care.,https://www.who.int/publications/b/63796 | https://www.who.int/publications/m/item/kangaroo-mother-care--a-clinical-practice-guide,EVIDENCE_REVIEWED_HIGH_RISK_DRAFT
NOC,0118,Newborn Adaptation,Adaptação do Recém-Nascido,AUTHOR_NEW,STANDARD,,,,2,00194; 00230,Neonatal Hyperbilirubinemia | Risk for neonatal hyperbilirubinemia,Hiperbilirrubinemia neonatal | Risco de hiperbilirrubinemia neonatal,"NOC 0118 — Newborn Adaptation. Local example evaluation: trend newborn temperature, respiratory effort and rate, colour, feeding effectiveness, alertness, urine and stool output and weight after birth; assess ability to maintain thermal stability and feed without repeated choking, cyanosis, marked fatigue or cardiorespiratory instability; monitor jaundice according to the neonatal plan and compare bilirubin or clinical findings with age in hours and risk factors rather than visual appearance alone; document caregiver-infant interaction and safe-sleep and feeding readiness for discharge; use selected licensed NOC indicators and scale for formal scoring and escalate newborn danger signs promptly.","NOC 0118 — Adaptação do Recém-Nascido. Exemplo local de avaliação: acompanhar temperatura, frequência e esforço respiratório, coloração, eficácia da alimentação, alerta, eliminações e peso do recém-nascido; avaliar capacidade de manter estabilidade térmica e alimentar-se sem engasgo repetido, cianose, fadiga importante ou instabilidade cardiorrespiratória; monitorar icterícia conforme plano neonatal e comparar bilirrubina ou achados clínicos com idade em horas e fatores de risco em vez de aparência visual isolada; documentar interação cuidador-bebê e prontidão para sono seguro e alimentação na alta; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e escalar sinais de perigo neonatal prontamente.",Newborn adaptation examples aligned with WHO essential newborn care.,https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/newborn-health/essential-newborn-care,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NOC,0119,Sexual Functioning,Funcionamento Sexual,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Sexual Functioning,NOC 0119 — Sexual Functioning. Example evaluation: Score the patient-identified sexual-function indicator; example target 2/5 to 4/5.,NOC 0119 — Funcionamento sexual (English: Sexual Functioning). Exemplo de avaliação: Pontuar o indicador de função sexual definido com a pessoa; exemplo de meta 2/5 para 4/5.,1,00386,Impaired sexual function,Disfunção sexual,"NOC 0119 — Sexual Functioning. Local evaluation examples: assess the person-defined sexual concern and whether comfort, desire, arousal, lubrication/erection, orgasm, pain, intimacy or satisfaction has changed from baseline; evaluate the effect of illness, treatment, medicines, body changes and relationship or safety factors; document whether the person can engage in desired sexual activity safely and comfortably or has chosen abstinence without distress; assess whether information, adaptations or referral improve the identified concern; use selected licensed NOC indicators/scale for formal scoring and preserve privacy.","NOC 0119 — Funcionamento Sexual. Exemplos locais de avaliação: avaliar a preocupação sexual definida pela pessoa e se conforto, desejo, excitação, lubrificação/ereção, orgasmo, dor, intimidade ou satisfação mudaram em relação à linha de base; avaliar efeito de doença, tratamento, medicamentos, mudanças corporais e fatores relacionais ou de segurança; documentar se a pessoa consegue participar da atividade sexual desejada com segurança/conforto ou se escolheu abstinência sem sofrimento; avaliar se informações, adaptações ou encaminhamento melhoram a preocupação identificada; utilizar indicadores/escala NOC licenciados selecionados para pontuação formal preservando privacidade.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/teams/sexual-and-reproductive-health-and-research/key-areas-of-work/sexual-health/defining-sexual-health,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NOC,0200,Ambulation,Deambulação,AUTHOR_NEW,STANDARD,,,,1,00365,Impaired walking ability,Capacidade de locomoção prejudicada,"NOC 0200 — Ambulation. Local example evaluation: measure walking ability using meaningful tasks such as rising, initiating gait, distance, turns and navigating the required environment; document gait stability, speed or endurance, assistance and prescribed device needed; assess pain, dyspnoea, fatigue, dizziness and recovery after walking; compare performance over time and note falls or near-falls rather than distance alone; use selected licensed NOC indicators and scale for formal scoring and investigate sudden decline or new neurological or vascular symptoms.","NOC 0200 — Deambulação. Exemplo local de avaliação: medir capacidade de caminhar por tarefas significativas como levantar-se, iniciar marcha, distância, curvas e navegar o ambiente necessário; documentar estabilidade da marcha, velocidade ou resistência, assistência e dispositivo prescrito necessário; avaliar dor, dispneia, fadiga, tontura e recuperação após caminhada; comparar desempenho e observar quedas ou quase-quedas em vez de distância isolada; utilizar indicadores e escala NOC licenciados selecionados para pontuação formal e investigar declínio súbito ou novos sintomas neurológicos ou vasculares.",Ambulation evaluation reviewed against rehabilitation guidance.,https://www.nice.org.uk/guidance/ng236/chapter/Recommendations | https://www.nice.org.uk/guidance/ng252/chapter/Rehabilitation-to-maintain-improve-or-support-function,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
