classification,code,current_label_en,current_label_pt,status,risk_review,old_label_en,recovered_en,recovered_pt,diagnosis_count,diagnosis_codes,diagnoses_en,diagnoses_pt,review_en,review_pt,fact_check_notes,source_notes,review_status
NIC,0180,Energy Management,Controle de Energia,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Energy Management,NIC 0180 — Energy Management. Example activities: Balance activity with rest; cluster care when appropriate; identify factors that increase fatigue.,NIC 0180 — Gerenciamento de energia (English: Energy Management). Exemplos de atividades: Equilibrar atividade e repouso; agrupar cuidados quando apropriado; identificar fatores que aumentam a fadiga.,6,00298; 00299; 00353; 00357; 00397; 00477,Decreased activity tolerance | Risk for decreased activity tolerance | Elder frailty syndrome | Risk for elder frailty syndrome | Ineffective fatigue self-management | Excessive fatigue burden,Diminuição da tolerância à atividade | Risco de diminuição da tolerância à atividade | Síndrome de fragilidade do idoso | Risco de síndrome de fragilidade em idosos | Autogestão ineficaz da fadiga | sobrecarga de fadiga excessiva,"NIC 0180 — Energy Management. Local example activities: identify the activities, symptoms and times of day that produce the greatest fatigue; plan essential activities for periods of better energy and alternate activity with rest; cluster care only when this reduces burden rather than creating an exhausting block of tasks; support gradual, safe activity within tolerance and the person’s goals; monitor whether fatigue, dyspnoea, dizziness, pain or recovery time worsens and adjust the plan or escalate when the pattern changes.","NIC 0180 — Controle de Energia. Exemplos locais de atividades: identificar quais atividades, sintomas e horários do dia produzem maior fadiga; planejar atividades essenciais para períodos de melhor energia e alternar atividade com repouso; agrupar cuidados somente quando isso reduzir a sobrecarga, evitando criar um bloco exaustivo de tarefas; apoiar atividade gradual e segura dentro da tolerância e dos objetivos da pessoa; monitorar piora de fadiga, dispneia, tontura, dor ou tempo de recuperação e ajustar o plano ou escalar quando o padrão se modificar.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/health-topics/noncommunicable-diseases/physical-activity | https://www.nice.org.uk/guidance/CG50/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0200,Exercise Promotion,Promoção do Exercício,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Exercise Promotion,"NIC 0200 — Exercise Promotion. Example activities: Assess baseline activity tolerance; agree on a progressive activity plan; reinforce safe, regular movement.",NIC 0200 — Promoção de exercícios (English: Exercise Promotion). Exemplos de atividades: Avaliar a tolerância basal à atividade; pactuar um plano progressivo; reforçar movimento regular e seguro.,3,00307; 00355; 00394,Readiness for enhanced exercise engagement | Excessive sedentary behaviours | Risk for excessive sedentary behaviours,Prontidão para um maior envolvimento em exercícios físicos | Comportamentos sedentários excessivos | Risco de comportamentos sedentários excessivos,"NIC 0200 — Exercise Promotion. Local example activities: assess baseline activity, mobility, symptoms, preferences and barriers; agree on a realistic progressive activity plan that fits the person’s health status and goals; encourage regular aerobic, strengthening, balance or flexibility work as appropriate rather than an all-or-nothing target; teach pacing, warm-up/cool-down and warning symptoms that require stopping or review; track adherence, tolerance and function and revise the plan when symptoms, medicines or clinical status change.","NIC 0200 — Promoção do Exercício. Exemplos locais de atividades: avaliar nível basal de atividade, mobilidade, sintomas, preferências e barreiras; pactuar um plano progressivo e realista que se ajuste ao estado de saúde e aos objetivos da pessoa; estimular atividade aeróbica, fortalecimento, equilíbrio ou flexibilidade de forma regular conforme apropriado, evitando metas de tudo-ou-nada; ensinar controle de ritmo, aquecimento/desaquecimento e sinais de alerta que exigem interrupção ou avaliação; acompanhar adesão, tolerância e função e revisar o plano quando sintomas, medicamentos ou condição clínica mudarem.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/health-topics/noncommunicable-diseases/physical-activity,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0221,Exercise Therapy: Ambulation,Terapia com Exercício: Deambulação,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Exercise Therapy: Ambulation,NIC 0221 — Exercise Therapy: Ambulation. Example activities: Assess mobility and safety; assist with progressive ambulation; use prescribed aids and monitor response.,NIC 0221 — Promoção da mobilidade (English: Exercise Therapy: Ambulation). Exemplos de atividades: Avaliar mobilidade e segurança; auxiliar deambulação progressiva; utilizar dispositivos prescritos e monitorar resposta.,6,00085; 00091; 00324; 00363; 00364; 00365,Impaired physical mobility | Impaired bed mobility | Risk for impaired physical mobility | Impaired sitting ability | Impaired standing ability | Impaired walking ability,Mobilidade física prejudicada | Mobilidade reduzida no leito | Risco de mobilidade física comprometida | Capacidade de sentar-se prejudicada | Capacidade de ficar em pé prejudicada | Capacidade de locomoção prejudicada,"NIC 0221 — Exercise Therapy: Ambulation. Local example activities: assess gait, balance, lower-limb strength, orthostatic symptoms and the assistance or device required before walking; clear the route, fit footwear and prescribed mobility aids, and transfer to standing safely; assist progressive ambulation with rest breaks and the least help needed for safety; monitor pain, dyspnoea, dizziness, fatigue and vital-sign response when indicated; document distance, assistance and tolerance and escalate a new inability to bear weight, acute neurological change, syncope or other unexpected deterioration.","NIC 0221 — Terapia com Exercício: Deambulação. Exemplos locais de atividades: avaliar marcha, equilíbrio, força de membros inferiores, sintomas ortostáticos e a assistência ou dispositivo necessário antes de caminhar; liberar o trajeto, ajustar calçados e dispositivos de mobilidade prescritos e realizar a passagem para ortostatismo com segurança; auxiliar deambulação progressiva com pausas e o mínimo de ajuda necessário para segurança; monitorar dor, dispneia, tontura, fadiga e resposta dos sinais vitais quando indicado; documentar distância, assistência e tolerância e escalar nova incapacidade de apoiar peso, alteração neurológica aguda, síncope ou outra deterioração inesperada.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.who.int/health-topics/noncommunicable-diseases/physical-activity | https://www.cdc.gov/steadi/,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0410,Bowel Incontinence Care,Cuidados na Incontinência Intestinal,AUTHOR_NEW,STANDARD,,,,2,00345; 00424,Risk for impaired fecal continence | Impaired fecal continence,Risco de incontinência fecal | Incontinência fecal prejudicada,"NIC 0410 — Bowel Incontinence Care. Local example activities: assess the usual bowel pattern, stool consistency, urgency, awareness of rectal filling, leakage frequency, diarrhoea/constipation, mobility and cognitive contributors; provide prompt, private toilet access and an individualized bowel routine; protect perianal skin with gentle cleansing, drying and an appropriate barrier product; support prescribed stool-consistency, bowel-training or pelvic-floor interventions and monitor their effect; document episodes and triggers and refer persistent or new incontinence, rectal bleeding, severe pain, prolapse or suspected impaction for assessment.","NIC 0410 — Cuidados na Incontinência Intestinal. Exemplos locais de atividades: avaliar padrão intestinal habitual, consistência das fezes, urgência, percepção do enchimento retal, frequência de perdas e fatores como diarreia/constipação, mobilidade e cognição; oferecer acesso rápido e privado ao banheiro e rotina intestinal individualizada; proteger a pele perianal com limpeza suave, secagem e barreira apropriada; apoiar intervenções prescritas para consistência das fezes, treinamento intestinal ou assoalho pélvico e monitorar efeito; documentar episódios e gatilhos e encaminhar incontinência persistente/nova, sangramento retal, dor intensa, prolapso ou suspeita de impactação.",Fact-checked against current NIDDK fecal-incontinence management. Local examples only; not verbatim NIC text.,https://www.niddk.nih.gov/health-information/digestive-diseases/bowel-control-problems-fecal-incontinence/treatment,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NIC,0430,Bowel Management,Controle Intestinal,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Bowel Management,"NIC 0430 — Bowel Management. Example activities: Assess bowel pattern; encourage appropriate fluids, mobility, and toileting routine; monitor stool characteristics.","NIC 0430 — Controle intestinal (English: Bowel Management). Exemplos de atividades: Avaliar padrão intestinal; estimular líquidos, mobilidade e rotina de evacuação adequados; monitorar características das fezes.",4,00344; 00346; 00422; 00423,Impaired intestinal elimination | Risk for impaired intestinal elimination | Risk for impaired gastrointestinal motility | Impaired gastrointestinal motility,Eliminação intestinal prejudicada | Risco de comprometimento da eliminação intestinal | Risco de comprometimento da motilidade gastrointestinal | Motilidade gastrointestinal prejudicada,"NIC 0430 — Bowel Management. Local example activities: establish the person’s usual bowel pattern, stool consistency, urgency, straining, pain and factors such as medicines, mobility and diet; support an individualized toileting routine with privacy, adequate time and safe positioning; encourage appropriate fluid, fibre and activity when not contraindicated; monitor stool frequency/character and the effect of prescribed bowel medicines; escalate persistent change in bowel habit, severe abdominal pain/distension, vomiting, rectal bleeding or suspected obstruction/impaction.","NIC 0430 — Controle Intestinal. Exemplos locais de atividades: estabelecer o padrão intestinal habitual, consistência das fezes, urgência, esforço evacuatório, dor e fatores como medicamentos, mobilidade e dieta; apoiar rotina individualizada de evacuação com privacidade, tempo adequado e posicionamento seguro; estimular líquidos, fibras e atividade apropriados quando não houver contraindicação; monitorar frequência/características das fezes e o efeito dos medicamentos intestinais prescritos; escalar alteração persistente do hábito intestinal, dor ou distensão abdominal intensa, vômitos, sangramento retal ou suspeita de obstrução/impactação.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/treatment,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0450,Constipation/Impaction Management,Controle da Constipação/Impactação,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Constipation/Impaction Management,NIC 0450 — Constipation/Impaction Management. Example activities: Assess stool frequency and consistency; promote mobility and appropriate hydration/fiber; provide prescribed measures.,NIC 0450 — Controle da constipação (English: Constipation/Impaction Management). Exemplos de atividades: Avaliar frequência e consistência das fezes; estimular mobilidade e hidratação/fibras adequadas; realizar medidas prescritas.,2,00235; 00236,Chronic functional constipation | Risk for chronic functional constipation,constipação funcional crônica | Risco de constipação funcional crônica,"NIC 0450 — Constipation/Impaction Management. Local example activities: assess duration of constipation, stool consistency, straining, abdominal symptoms, medicines and previous bowel regimen and check for red flags before intensifying treatment; promote appropriate fluids, gradual dietary fibre, mobility and a regular toileting opportunity when suitable; give prescribed laxatives or rectal measures according to the plan and monitor effect and adverse symptoms; avoid repeated invasive rectal procedures without clear indication; escalate severe pain/distension, persistent vomiting, bleeding, fever, inability to pass stool/flatus or suspected faecal impaction/obstruction.","NIC 0450 — Controle da Constipação/Impactação. Exemplos locais de atividades: avaliar duração da constipação, consistência das fezes, esforço, sintomas abdominais, medicamentos e esquema intestinal prévio e verificar sinais de alarme antes de intensificar o tratamento; estimular líquidos apropriados, aumento gradual de fibras, mobilidade e oportunidade regular para evacuar quando indicado; administrar laxantes ou medidas retais prescritas conforme o plano e monitorar efeito e sintomas adversos; evitar procedimentos retais invasivos repetidos sem indicação clara; escalar dor/distensão intensa, vômitos persistentes, sangramento, febre, incapacidade de eliminar fezes/gases ou suspeita de impactação/obstrução.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.niddk.nih.gov/health-information/digestive-diseases/constipation/treatment,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0590,Urinary Elimination Management,Controle da Eliminação Urinária,RECOVERED_FACT_CHECK_REQUIRED,STANDARD,Urinary Elimination Management,"NIC 0590 — Urinary Elimination Management. Example activities: Assess voiding pattern; provide privacy and adequate positioning; monitor frequency, volume, and symptoms.","NIC 0590 — Controle da eliminação urinária (English: Urinary Elimination Management). Exemplos de atividades: Avaliar padrão miccional; oferecer privacidade e posicionamento adequado; monitorar frequência, volume e sintomas.",1,00016,Impaired urinary elimination,Eliminação urinária prejudicada,"NIC 0590 — Urinary Elimination Management. Local example activities: establish the usual voiding pattern and assess frequency, urgency, nocturia, continence, hesitancy, pain and urine amount/appearance; use a bladder or intake/output diary when useful and provide privacy, safe positioning and timely access to the toilet; review fluid timing and potential bladder irritants in the context of the person’s conditions and prescribed plan; monitor for retention, infection symptoms or new haematuria and follow specimen-testing instructions when indicated; escalate inability to void, painful bladder distension, gross haematuria or systemic illness.","NIC 0590 — Controle da Eliminação Urinária. Exemplos locais de atividades: estabelecer o padrão miccional habitual e avaliar frequência, urgência, noctúria, continência, hesitação, dor e volume/aspecto da urina; utilizar diário vesical ou balanço de ingestão/diurese quando útil e oferecer privacidade, posicionamento seguro e acesso oportuno ao banheiro; revisar horário de ingestão de líquidos e possíveis irritantes vesicais no contexto das condições e do plano prescrito; monitorar retenção, sintomas de infecção ou nova hematúria e seguir orientações de coleta/testagem quando indicado; escalar incapacidade de urinar, distensão vesical dolorosa, hematúria macroscópica ou doença sistêmica.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.niddk.nih.gov/health-information/urologic-diseases/bladder-control-problems/treatment | https://www.nice.org.uk/guidance/ng123/chapter/recommendations,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0610,Urinary Incontinence Care,Cuidados na Incontinência Urinária,REWRITE_VERIFY_LABEL_DRIFT,STANDARD,Urinary Retention Care,NIC 0610 — Urinary Retention Care. Example activities: Assess bladder fullness and voiding difficulty; monitor output; escalate persistent retention according to protocol.,NIC 0610 — Cuidados com retenção urinária (English: Urinary Retention Care). Exemplos de atividades: Avaliar distensão vesical e dificuldade para urinar; monitorar débito; comunicar retenção persistente conforme protocolo.,5,00017; 00019; 00022; 00297; 00310,Stress urinary incontinence | Urge urinary incontinence | Risk for urge urinary incontinence | Disability-associated urinary incontinence | Mixed urinary incontinence,Incontinência urinária de esforço | Incontinência urinária de urgência | Risco de incontinência urinária de urgência | Incontinência urinária associada à deficiência | Incontinência urinária mista,"NIC 0610 — Urinary Incontinence Care. Local example activities: identify the incontinence pattern and triggers using history and, when useful, a bladder diary; protect dignity and skin while providing timely toileting and containment products only as part of the agreed management plan; support prescribed bladder training for urgency/mixed incontinence and supervised pelvic-floor muscle training for stress/mixed incontinence when appropriate; review fluid intake, caffeine and mobility/toilet-access barriers rather than routinely restricting fluids; monitor response and refer/escalate pain, haematuria, recurrent infection, voiding difficulty or suspected retention/neurological disease.","NIC 0610 — Cuidados na Incontinência Urinária. Exemplos locais de atividades: identificar o padrão de incontinência e os gatilhos por meio da história e, quando útil, diário vesical; preservar dignidade e integridade da pele, oferecendo acesso oportuno ao banheiro e produtos de contenção apenas como parte do plano acordado; apoiar treinamento vesical prescrito para incontinência de urgência/mista e treinamento supervisionado do assoalho pélvico para incontinência de esforço/mista quando apropriado; revisar ingestão de líquidos, cafeína e barreiras de mobilidade/acesso ao banheiro em vez de restringir líquidos rotineiramente; monitorar resposta e encaminhar/escalar dor, hematúria, infecção recorrente, dificuldade miccional ou suspeita de retenção/doença neurológica.","Recovered text was treated only as a candidate. This replacement was re-checked against the CURRENT code/label and linked diagnoses, then rewritten where needed for specificity, contemporary clinical practice, scope boundaries, observable evaluation, and safety. Locally authored example guidance; not verbatim or official NIC/NOC activity/indicator wording.",https://www.nice.org.uk/guidance/ng123/chapter/recommendations | https://www.niddk.nih.gov/health-information/urologic-diseases/bladder-control-problems/treatment,EVIDENCE_REVIEWED_RECOVERED_OR_DRIFT_DRAFT
NIC,0620,Urinary Retention Care,Cuidados na Retenção Urinária,AUTHOR_NEW,STANDARD,,,,1,00322,Risk for urinary retention,Risco de retenção urinária,"NIC 0620 — Urinary Retention Care. Local example activities: assess ability to void, suprapubic discomfort/fullness, recent urine output, medicines/procedures and potential reversible causes; use bladder scanning or measured post-void residual when ordered/available rather than judging retention by symptoms alone; provide privacy and a normal voiding position; if acute retention is confirmed, assist prompt bladder drainage with the prescribed catheter technique and monitor output and response; escalate anuria, severe pain/distension, haematuria, neurological symptoms, renal deterioration or recurrent/persistent retention.","NIC 0620 — Cuidados na Retenção Urinária. Exemplos locais de atividades: avaliar capacidade de urinar, desconforto/distensão suprapúbica, débito urinário recente, medicamentos/procedimentos e possíveis causas reversíveis; utilizar ultrassom vesical ou resíduo pós-miccional medido quando prescrito/disponível em vez de julgar retenção apenas por sintomas; oferecer privacidade e posição fisiológica para micção; se retenção aguda for confirmada, auxiliar drenagem vesical imediata com técnica de cateterismo prescrita e monitorar débito e resposta; escalar anúria, dor/distensão intensa, hematúria, sintomas neurológicos, deterioração renal ou retenção recorrente/persistente.",Fact-checked against NIDDK urinary-retention treatment; acute retention requires prompt bladder drainage. Local examples only.,https://www.niddk.nih.gov/health-information/urologic-diseases/urinary-retention/treatment,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
NIC,0842,Positioning: Intraoperative,Posicionamento: Intraoperatório,AUTHOR_NEW,STANDARD,,,,1,00087,Risk for perioperative positioning injury,Risco de lesão por posicionamento perioperatório,"NIC 0842 — Positioning: Intraoperative. Local example activities: review the planned procedure, anaesthetic, expected duration, comorbidities, skin/pressure risk, range-of-motion limits, neuropathy and devices before positioning; use the surgical-team positioning plan, pressure-redistributing surface and padding/off-loading so the head, limbs and vulnerable nerves are supported without excessive stretch, compression or shear; protect eyes, lines, tubes and other vulnerable tissues from pressure or displacement and recheck alignment after table movement; document position and pressure-protection measures for prolonged procedures; report postoperative pain, numbness, weakness, skin injury or other signs of positioning-related harm promptly.","NIC 0842 — Posicionamento: Intraoperatório. Exemplos locais de atividades: revisar procedimento, anestesia, duração prevista, comorbidades, risco cutâneo/por pressão, limitações de amplitude de movimento, neuropatia e dispositivos antes do posicionamento; utilizar o plano de posicionamento da equipe cirúrgica, superfície redistributiva e acolchoamento/alívio de pressão para sustentar cabeça, membros e nervos vulneráveis sem estiramento, compressão ou cisalhamento excessivos; proteger olhos, acessos, tubos e outros tecidos vulneráveis contra pressão/deslocamento e rever alinhamento após movimentar a mesa; documentar posição e medidas de proteção em procedimentos prolongados; comunicar prontamente dor, dormência, fraqueza, lesão cutânea ou outros sinais de dano relacionado ao posicionamento.",Aligned with NICE perioperative and pressure-injury guidance; local examples only.,https://www.nice.org.uk/guidance/ng180/chapter/Recommendations | https://www.nice.org.uk/guidance/cg179/chapter/Recommendations,EVIDENCE_REVIEWED_AUTHOR_NEW_DRAFT
