nanda_code,diagnosis_en,diagnosis_pt,classification,code,label_en,label_pt,edition,role,applicability,applicability_en,applicability_pt,confidence,verification_status,source_language,source_reference,source_page,review_date,notes
00004,Risk for infection,Risco de infecção,NIC,6540,Infection Control,Controle de Infecção,"Nursing Interventions Classification (NIC), 8th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NIC 8th edition source reviewed; current code/label cross-check against NIC 8th current classification listing; https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00004,Risk for infection,Risco de infecção,NOC,1924,Risk Control: Infectious Process,Controle de Risco: Processo Infeccioso,"Nursing Outcomes Classification (NOC), 7th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NOC 7th edition source reviewed; current code/label cross-check against NOC 7th current classification listing; https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00007,Hyperthermia,Hipertermia,NIC,3900,Temperature Regulation,Regulação da Temperatura,"Nursing Interventions Classification (NIC), 8th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NIC 8th edition source reviewed; current code/label cross-check against NIC 8th current classification listing; https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00007,Hyperthermia,Hipertermia,NOC,0800,Thermoregulation,Termorregulação,"Nursing Outcomes Classification (NOC), 7th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NOC 7th edition source reviewed; current code/label cross-check against NOC 7th current classification listing; https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00008,Ineffective thermoregulation,Termorregulação ineficaz,NIC,3900,Temperature Regulation,Regulação da Temperatura,"Nursing Interventions Classification (NIC), 8th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NIC 8th edition source reviewed; current code/label cross-check against NIC 8th current classification listing; https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00008,Ineffective thermoregulation,Termorregulação ineficaz,NOC,0800,Thermoregulation,Termorregulação,"Nursing Outcomes Classification (NOC), 7th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NOC 7th edition source reviewed; current code/label cross-check against NOC 7th current classification listing; https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00010,Risk for autonomic dysreflexia,Risco de disreflexia autonômica,NIC,2620,Neurologic Monitoring,Monitoração Neurológica,"Nursing Interventions Classification (NIC), 8th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NIC 8th edition source reviewed; current code/label cross-check against NIC 8th current classification listing; https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00010,Risk for autonomic dysreflexia,Risco de disreflexia autonômica,NOC,0910,Neurological Function: Autonomic,Função Neurológica: Autonômica,"Nursing Outcomes Classification (NOC), 7th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,current_edition_verified,es,Institutional Spanish NOC 7th edition source reviewed; current code/label cross-check against NOC 7th current classification listing; https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00016,Impaired urinary elimination,Eliminação urinária prejudicada,NIC,0590,Urinary Elimination Management,Controle da Eliminação Urinária,"Nursing Interventions Classification (NIC), 8th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NIC 8th edition source reviewed; current code/label cross-check against NIC 8th current classification listing; https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
00016,Impaired urinary elimination,Eliminação urinária prejudicada,NOC,0503,Urinary Elimination,Eliminação Urinária,"Nursing Outcomes Classification (NOC), 7th edition",primary,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Compatibility primary selected for the diagnosis; consider alternative/context-specific links before finalising a care plan.,Mapeamento primário de compatibilidade selecionado para o diagnóstico; considerar vínculos alternativos/específicos ao contexto antes de finalizar o plano de cuidados.,high,curated_current_edition,es,Institutional Spanish NOC 7th edition source reviewed; current code/label cross-check against NOC 7th current classification listing; https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,,2026-09-07,"Selection remains patient/context dependent; use the licensed classification definitions, activities/indicators and scales."
