review_priority,evidence_basis,code,description_en,description_pt,nanda_domain,nanda_class,nanda_source_page,nanda_pdf_page,nic_code,nic_label_en,nic_label_pt,nic_reuse_count,noc_code,noc_label_en,noc_label_pt,noc_reuse_count,mapping_confidence,mapping_status,contextual_alternative_count,contextual_nic_codes,contextual_noc_codes,mapping_reference,mapping_rationale,mapping_review_date
high,edition_baseline_plus_semantic_match,00085,Impaired physical mobility,Mobilidade física prejudicada,4,2,353,432,0221,Exercise Therapy: Ambulation,Terapia com Exercício: Deambulação,6,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Ambulation-focused exercise therapy supports mobility; Mobility is the direct broad outcome.,2026-09-08
high,specific_literature_or_source,00087,Risk for perioperative positioning injury,Risco de lesão por posicionamento perioperatório,11,2,549,683,0842,Positioning: Intraoperative,Posicionamento: Intraoperatório,1,0204,Immobility Consequences: Physiological,Consequências da Imobilidade: Fisiológicas,1,moderate,curated_current_editions_contextual,1,,1902 Risk Control,https://www.researchgate.net/publication/324549548_Nursing_Outcomes_for_Patients_with_Risk_of_Perioperative_Positioning_Injury,Intraoperative positioning is diagnosis-specific; NOC 0204 (Immobility Consequences: Physiological) is a current physiologic surveillance outcome but remains broader than positioning injury itself.,2026-09-08
high,edition_baseline_plus_semantic_match,00091,Impaired bed mobility,Mobilidade reduzida no leito,4,2,356,436,0221,Exercise Therapy: Ambulation,Terapia com Exercício: Deambulação,6,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Ambulation-focused exercise therapy supports mobility; Mobility is the direct broad outcome.,2026-09-08
high,specific_literature_or_source,00141,Post-trauma syndrome,Síndrome pós-traumática,9,1,483,597,5230,Coping Enhancement,Melhora do Enfrentamento,5,1305,Psychosocial Adjustment: Life Change,Ajuste Psicossocial: Mudança de Vida,3,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/2047-3095.12323,Coping enhancement and psychosocial adjustment are central to post-trauma adaptation.,2026-09-08
high,specific_literature_or_source,00145,Risk for post-trauma syndrome,Risco de síndrome pós-traumática,9,1,485,599,5230,Coping Enhancement,Melhora do Enfrentamento,5,1305,Psychosocial Adjustment: Life Change,Ajuste Psicossocial: Mudança de Vida,3,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/2047-3095.12323,Coping enhancement and psychosocial adjustment are central to post-trauma adaptation.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00156,Risk for sudden infant death,Risco de morte súbita infantil,11,2,593,746,6824,Infant Care: Newborn,Cuidados com o Lactente: Recém-Nascido,1,1947,Safe Home Environment: Child's Room,Ambiente Domiciliar Seguro: Quarto da Criança,1,moderate,curated_current_editions_contextual,0,,,https://www.salusplay.com/apuntes/pae-y-diagnosticos-de-enfermeria-nanda-noc-y-nic/anexo-2-clasificacion-completa-de-resultados-de-enfermeria-noc-2024-8,"Newborn care with a safe child-room environment is more specific than generic Risk Control for SIDS-risk prevention, but it does not replace evidence-based safe-sleep guidance.",2026-09-08
high,edition_baseline_plus_semantic_match,00167,Readiness for enhanced self-concept,Prontidão para um autoconceito aprimorado,6,1,426,527,5390,Self-Awareness Enhancement,Melhora da Autoconsciência,2,1205,Self-Esteem,Autoestima,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Self-awareness work supports self-concept/identity; Self-Esteem provides a measurable self-perception outcome.,2026-09-08
high,edition_baseline_plus_semantic_match,00169,Impaired religiosity,Religiosidade prejudicada,10,3,531,658,5420,Spiritual Support,Apoio Espiritual,6,2001,Spiritual Health,Saúde Espiritual,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Spiritual Support and Spiritual Health are the closest broad standardized targets for religiosity diagnoses.,2026-09-08
high,edition_baseline_plus_semantic_match,00170,Risk for impaired religiosity,Risco de religiosidade prejudicada,10,3,533,660,5420,Spiritual Support,Apoio Espiritual,6,2001,Spiritual Health,Saúde Espiritual,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Spiritual Support and Spiritual Health are the closest broad standardized targets for religiosity diagnoses.,2026-09-08
high,edition_baseline_plus_semantic_match,00171,Readiness for enhanced religiosity,Prontidão para uma religiosidade reforçada,10,3,534,661,5420,Spiritual Support,Apoio Espiritual,6,2001,Spiritual Health,Saúde Espiritual,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Spiritual Support and Spiritual Health are the closest broad standardized targets for religiosity diagnoses.,2026-09-08
high,edition_baseline_plus_semantic_match,00175,Moral distress,Angústia moral,10,3,524,649,5480,Values Clarification,Esclarecimento de Valores,1,2001,Spiritual Health,Saúde Espiritual,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Values Clarification supports moral conflict; Spiritual Health is used as a broad value/meaning outcome.,2026-09-08
high,edition_baseline_plus_semantic_match,00180,Risk for contamination,Risco de contaminação,11,4,610,767,6540,Infection Control,Controle de Infecção,4,1902,Risk Control,Controle de Risco,12,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Infection/environmental controls with general risk control are used as a conservative contamination linkage.,2026-09-08
high,edition_baseline_plus_semantic_match,00181,Contamination,Contaminação,11,4,607,763,6540,Infection Control,Controle de Infecção,4,1902,Risk Control,Controle de Risco,12,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Infection/environmental controls with general risk control are used as a conservative contamination linkage.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00208,Readiness for enhanced childbearing process,Preparação para um processo de gestação aprimorado,7,3,474,585,6960,Prenatal Care,Cuidados Pré-Natais,3,2509,Maternal Status: Antepartum,Estado Materno: Anteparto,4,moderate,curated_current_editions_contextual,5,6760 Childbirth Preparation; 6830 Intrapartum Care; 6930 Postpartum Care,2510 Maternal Status: Intrapartum; 2511 Maternal Status: Postpartum,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,Legacy NIC 6780 is not present in NIC 8th. Prenatal Care (6960) and Maternal Status: Antepartum (2509) are used as compatibility primaries; intrapartum/postpartum alternatives are exposed separately because childbearing-process care is phase dependent.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00221,Ineffective childbearing process,Processo de gravidez ineficaz,7,3,471,582,6960,Prenatal Care,Cuidados Pré-Natais,3,2509,Maternal Status: Antepartum,Estado Materno: Anteparto,4,moderate,curated_current_editions_contextual,5,6760 Childbirth Preparation; 6830 Intrapartum Care; 6930 Postpartum Care,2510 Maternal Status: Intrapartum; 2511 Maternal Status: Postpartum,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,Legacy NIC 6780 is not present in NIC 8th. Prenatal Care (6960) and Maternal Status: Antepartum (2509) are used as compatibility primaries; intrapartum/postpartum alternatives are exposed separately because childbearing-process care is phase dependent.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00227,Risk for ineffective childbearing process,Risco de processo reprodutivo ineficaz,7,3,473,584,6960,Prenatal Care,Cuidados Pré-Natais,3,2509,Maternal Status: Antepartum,Estado Materno: Anteparto,4,moderate,curated_current_editions_contextual,5,6760 Childbirth Preparation; 6830 Intrapartum Care; 6930 Postpartum Care,2510 Maternal Status: Intrapartum; 2511 Maternal Status: Postpartum,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,Legacy NIC 6780 is not present in NIC 8th. Prenatal Care (6960) and Maternal Status: Antepartum (2509) are used as compatibility primaries; intrapartum/postpartum alternatives are exposed separately because childbearing-process care is phase dependent.,2026-09-08
high,edition_baseline_plus_semantic_match,00245,Risk for corneal injury,Risco de lesão na córnea,11,2,546,679,1650,Eye Care,Cuidados com os Olhos,1,1101,Tissue Integrity: Skin & Mucous Membranes,Integridade Tissular: Pele e Mucosas,6,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Eye Care plus tissue/mucous-membrane integrity targets prevention of corneal injury.,2026-09-08
high,edition_baseline_plus_semantic_match,00271,Ineffective infant feeding dynamics,Dinâmica ineficaz da alimentação infantil,2,1,298,358,1050,Feeding,Alimentação,2,1008,Nutritional Status: Food and Fluid Intake,Estado Nutricional: Ingestão de Alimentos e Líquidos,1,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Feeding support and Food/Fluid Intake directly address ineffective infant feeding dynamics.,2026-09-08
high,specific_literature_or_source,00273,Imbalanced energy field,Campo energético desequilibrado,1,1,212,246,5465,Therapeutic Touch,Toque Terapêutico,1,2002,Personal Well-Being,Bem-Estar Pessoal,2,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1590/0034-7167-2025-0119,Current literature specifically discusses the diagnostic concept in relation to Therapeutic Touch; well-being is used as a conservative measurable patient outcome.,2026-09-08
high,specific_literature_or_source,00276,Ineffective health self-management,Autogestão ineficaz da saúde,1,2,214,248,4480,Self-Responsibility Facilitation,Facilitação da Autorresponsabilidade,4,1613,Self-Management of Care,Autogestão dos Cuidados,2,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.15503,Self-direction and responsibility are closer to self-management than generic disease knowledge alone.,2026-09-08
high,specific_literature_or_source,00292,Ineffective health maintenance behaviours,Comportamentos ineficazes de manutenção da saúde,1,2,255,303,4480,Self-Responsibility Facilitation,Facilitação da Autorresponsabilidade,4,1602,Health Promoting Behaviour,Comportamento de Promoção da Saúde,3,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.15503,Health-maintenance behaviour is better represented by health-promoting behaviour than disease-process knowledge.,2026-09-08
high,specific_literature_or_source,00293,Readiness for enhanced health self-management,Preparação para uma melhor autogestão da saúde,1,2,218,253,5510,Health Education,Educação em Saúde,1,1602,Health Promoting Behaviour,Comportamento de Promoção da Saúde,3,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/jan.15503,Readiness for improved self-management is best tracked as health-promoting behaviour with education support.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00305,Risk for delayed child development,Risco de atraso no desenvolvimento infantil,13,2,664,834,8274,Child Care,Cuidados com a Criança,2,0107,Child Development: 5 Years,Desenvolvimento Infantil: 5 Anos,2,moderate,curated_current_editions_contextual,8,5650 Teaching: Middle Childhood Development (6-12 Years); 5670 Teaching: Adolescent Development (12-21 Years); 5680 Teaching: Early Childhood Development (1-5 Years),0127 Child Development: 6-7 Years; 0128 Child Development: 8-10 Years; 0129 Child Development: Early Adolescence; 0130 Child Development: Late Adolescence; 0131 Child Development: Middle Adolescence,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,NIC 8274 is now labelled Child Care in NIC 8th. NOC development outcomes are age-specific; 0107 remains only a compatibility representative while age-specific alternatives are returned by the API.,2026-09-08
high,current_edition_code_label_listing_plus_semantic_match,00314,Delayed child development,Atraso no desenvolvimento infantil,13,2,662,831,8274,Child Care,Cuidados com a Criança,2,0107,Child Development: 5 Years,Desenvolvimento Infantil: 5 Anos,2,moderate,curated_current_editions_contextual,8,5650 Teaching: Middle Childhood Development (6-12 Years); 5670 Teaching: Adolescent Development (12-21 Years); 5680 Teaching: Early Childhood Development (1-5 Years),0127 Child Development: 6-7 Years; 0128 Child Development: 8-10 Years; 0129 Child Development: Early Adolescence; 0130 Child Development: Late Adolescence; 0131 Child Development: Middle Adolescence,https://www.salusplay.com/blog/clasificacion-completa-intervenciones-enfermeria-nic-2024/,NIC 8274 is now labelled Child Care in NIC 8th. NOC development outcomes are age-specific; 0107 remains only a compatibility representative while age-specific alternatives are returned by the API.,2026-09-08
high,edition_baseline_plus_semantic_match,00315,Delayed infant motor development,Atraso no desenvolvimento motor infantil,13,2,666,836,8278,Developmental Enhancement: Infant,Melhora do Desenvolvimento: Lactente,2,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,7,,0100 Child Development: 2 Months; 0101 Child Development: 4 Months; 0102 Child Development: 6 Months; 0103 Child Development: 12 Months; 0120 Child Development: 1 Month; 0125 Child Development: 9 Months; 0126 Child Development: 18 Months,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Infant developmental enhancement plus Mobility targets infant motor development; age-specific developmental outcomes should supplement this primary mapping.,2026-09-08
high,edition_baseline_plus_semantic_match,00316,Risk for delayed infant motor development,Risco de atraso no desenvolvimento motor infantil,13,2,668,838,8278,Developmental Enhancement: Infant,Melhora do Desenvolvimento: Lactente,2,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,7,,0100 Child Development: 2 Months; 0101 Child Development: 4 Months; 0102 Child Development: 6 Months; 0103 Child Development: 12 Months; 0120 Child Development: 1 Month; 0125 Child Development: 9 Months; 0126 Child Development: 18 Months,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Infant developmental enhancement plus Mobility targets infant motor development; age-specific developmental outcomes should supplement this primary mapping.,2026-09-08
high,edition_baseline_plus_semantic_match,00324,Risk for impaired physical mobility,Risco de mobilidade física comprometida,4,2,355,434,0221,Exercise Therapy: Ambulation,Terapia com Exercício: Deambulação,6,0208,Mobility,Mobilidade,9,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Ambulation-focused exercise therapy supports mobility; Mobility is the direct broad outcome.,2026-09-08
high,edition_baseline_plus_semantic_match,00325,Inadequate self-compassion,Autocompaixão inadequada,9,2,507,628,5270,Emotional Support,Apoio Emocional,4,1205,Self-Esteem,Autoestima,7,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Emotional support and self-esteem are conservative measurable targets for inadequate self-compassion.,2026-09-08
high,specific_literature_or_source,00340,Readiness for enhanced healthy ageing,Preparação para um envelhecimento saudável aprimorado,1,2,268,320,8340,Resilience Promotion,Promoção da Resiliência,4,0113,Physical Ageing,Envelhecimento Físico,1,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1111/2047-3095.12225,Resilience promotion plus Physical Ageing provides a measurable healthy-ageing trajectory.,2026-09-08
high,specific_literature_or_source,00341,Readiness for enhanced transgender social identity,Prontidão para uma identidade social transgênero aprimorada,6,1,432,535,5440,Support System Enhancement,Melhora do Sistema de Apoio,2,1504,Social Support,Apoio Social,2,moderate,curated_current_editions_contextual,0,,,https://doi.org/10.1177/20473087261445590,Support-system enhancement supports transgender social identity and social support.,2026-09-08
high,edition_baseline_plus_semantic_match,00342,Impaired end-of-life comfort syndrome,Síndrome de conforto no fim da vida prejudicada,12,1,640,804,6482,Environmental Management: Comfort,Controle do Ambiente: Conforto,3,2109,Discomfort Level,Nível de Desconforto,1,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Comfort-focused environmental care and discomfort level are conservative measurable end-of-life comfort targets.,2026-09-08
high,edition_baseline_plus_semantic_match,00352,Ineffective dry mouth self-management,Autogestão ineficaz da boca seca,1,2,229,268,1710,Oral Health Maintenance,Manutenção da Saúde Oral,4,1100,Oral Health,Saúde Oral,2,moderate,curated_current_editions_contextual,0,,,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Oral-health maintenance and Oral Health are closer to dry-mouth consequences than generic disease knowledge.,2026-09-08
high,edition_baseline_plus_semantic_match,00362,Risk for imbalanced blood pressure,Risco de pressão arterial desequilibrada,4,4,374,459,4150,Haemodynamic Regulation,Regulação Hemodinâmica,1,0401,Circulation Status,Estado Circulatório,2,moderate,curated_current_editions_contextual,2,,1928 Risk Control: Hypertension; 1933 Risk Control: Hypotension,https://nursing.uiowa.edu/center-for-nursing-classification-and-clinical-effectiveness,Haemodynamic regulation and Circulation Status are aligned to blood-pressure instability risk.,2026-09-08
